service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
15172_20251214,1,1,1,1,1,0,0,20251214,20261212
15173_20251225,1,1,1,1,1,0,0,20251225,20261212
15174_20251214,1,1,1,1,1,1,1,20251214,20261212
15175_20251214,1,1,1,1,1,0,0,20251214,20261212
15176_20251214,1,1,1,1,1,0,0,20251214,20261212
15177_20251225,1,1,1,1,1,1,1,20251225,20261212
15178_20251225,1,1,1,1,1,0,0,20251225,20261212
15179_20251214,1,1,1,1,1,1,1,20251214,20261212
15180_20251214,1,1,1,1,1,1,1,20251214,20261212
15181_20251225,1,1,1,1,1,0,0,20251225,20261212
15182_20251225,1,1,1,1,1,0,0,20251225,20261212
15183_20260101,1,1,1,1,1,1,1,20260101,20261212
15184_20251225,1,1,1,1,1,1,1,20251225,20261212
15186_20260101,1,1,1,1,1,1,1,20260101,20261212
15200_20251226,1,1,1,1,1,1,1,20251226,20261212
15201_20251226,1,1,1,1,1,1,1,20251226,20261212
15202_20251214,1,1,1,1,1,1,0,20251214,20261212
15203_20251214,1,1,1,1,1,0,0,20251214,20261212
15204_20251214,1,1,1,1,1,0,0,20251214,20261212
15205_20251226,1,1,1,1,1,1,1,20251226,20261212
15206_20251226,1,1,1,1,1,1,1,20251226,20261212
15207_20251214,1,1,1,1,1,0,0,20251214,20261212
15208_20251214,1,1,1,1,1,0,0,20251214,20261212
15209_20251226,1,1,1,1,1,1,1,20251226,20261212
15210_20260102,1,1,1,1,1,1,1,20260102,20261212
15211_20251214,1,1,1,1,1,0,0,20251214,20261212
15212_20251214,1,1,1,1,1,0,0,20251214,20261212
15213_20251214,1,1,1,1,1,1,1,20251214,20261212
