line,avg_freq_min,overlap_extension_m,line_extension_m,overlap_pct,overlap_stops,overlap_stop_ids,total_stops,directions_considered,radius_extension_m,radius_extension_pct,radius_m,temporal_overlaps_count,temporal_overlaps_pct,temporal_overlap_stop_ids,temporal_spatial_candidates_count,__meta_smtuc_dataset,__meta_metro_dataset,__meta_walk_speed_m_min,__meta_stadium_lat,__meta_stadium_lon,__meta_radius_m,__meta_spatial_overlap_walk_min,__meta_temporal_overlap_max_min,__meta_sig_smtuc,__meta_sig_metro
23C,26.0,1203.1,20385.1,5.9,7,496;505;917;918;923;926;927,39,3,0.0,0.0,2000.0,41,75.93,496;505;917;918;923;926;927,54,smtuc,metrobus,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,37aba5a3f944e0f0cbf25eec2d9bac571fb48f40115d5c72cbe08a8e6aa6b0bd
23F,44.7,59.5,15635.9,0.38,2,496;505,41,2,0.0,0.0,2000.0,7,24.14,496;505,29,smtuc,metrobus,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,37aba5a3f944e0f0cbf25eec2d9bac571fb48f40115d5c72cbe08a8e6aa6b0bd
24,9.9,779.7,7513.8,10.38,4,504;639;777;789,25,2,6519.7,86.77,2000.0,146,58.17,504;639;777;789,251,smtuc,metrobus,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,37aba5a3f944e0f0cbf25eec2d9bac571fb48f40115d5c72cbe08a8e6aa6b0bd
24T,10.3,3393.9,23827.0,14.24,9,1583;474;509;515;634;768;778;788;791,45,4,18338.4,76.96,2000.0,533,42.03,1583;474;509;515;634;768;778;788;791,1268,smtuc,metrobus,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,37aba5a3f944e0f0cbf25eec2d9bac571fb48f40115d5c72cbe08a8e6aa6b0bd
25,21.3,240.1,63338.8,0.38,3,474;494;504,82,6,2031.5,3.21,2000.0,9,100.0,474;494;504,9,smtuc,metrobus,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,37aba5a3f944e0f0cbf25eec2d9bac571fb48f40115d5c72cbe08a8e6aa6b0bd
25T,60.4,240.1,28657.5,0.84,2,474;494,65,4,1745.8,6.09,2000.0,1,25.0,494,4,smtuc,metrobus,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,37aba5a3f944e0f0cbf25eec2d9bac571fb48f40115d5c72cbe08a8e6aa6b0bd
26,23.8,5547.0,30060.6,18.45,19,1583;504;509;629;630;631;632;634;639;768;775;776;778;781;782;791;876;883;884,55,6,30060.6,100.0,2000.0,229,76.08,1583;509;629;630;632;634;768;775;776;778;781;782;791;876;883;884,301,smtuc,metrobus,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,37aba5a3f944e0f0cbf25eec2d9bac571fb48f40115d5c72cbe08a8e6aa6b0bd
27,9.9,0.0,52824.9,0.0,2,474;504,68,8,10768.2,20.38,2000.0,6,46.15,474;504,13,smtuc,metrobus,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,37aba5a3f944e0f0cbf25eec2d9bac571fb48f40115d5c72cbe08a8e6aa6b0bd
27F,108.3,0.0,27376.2,0.0,1,474,49,5,5043.8,18.42,2000.0,1,33.33,474,3,smtuc,metrobus,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,37aba5a3f944e0f0cbf25eec2d9bac571fb48f40115d5c72cbe08a8e6aa6b0bd
28,16.6,0.0,39663.4,0.0,2,474;504,56,7,6533.4,16.47,2000.0,4,40.0,474;504,10,smtuc,metrobus,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,37aba5a3f944e0f0cbf25eec2d9bac571fb48f40115d5c72cbe08a8e6aa6b0bd
28F,38.9,0.0,11867.2,0.0,1,506,32,3,1510.7,12.73,2000.0,1,100.0,506,1,smtuc,metrobus,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,37aba5a3f944e0f0cbf25eec2d9bac571fb48f40115d5c72cbe08a8e6aa6b0bd
29,7.1,0.0,27106.5,0.0,0,,32,6,11676.6,43.08,2000.0,0,0.0,,0,smtuc,metrobus,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,37aba5a3f944e0f0cbf25eec2d9bac571fb48f40115d5c72cbe08a8e6aa6b0bd
2T,11.6,0.0,138966.0,0.0,1,504,106,10,2078.2,1.5,2000.0,3,50.0,504,6,smtuc,metrobus,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,37aba5a3f944e0f0cbf25eec2d9bac571fb48f40115d5c72cbe08a8e6aa6b0bd
30,80.5,480.1,45461.8,1.06,2,474;494,110,4,1506.4,3.31,2000.0,8,100.0,474;494,8,smtuc,metrobus,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,37aba5a3f944e0f0cbf25eec2d9bac571fb48f40115d5c72cbe08a8e6aa6b0bd
30A,217.5,0.0,26538.9,0.0,0,,86,2,1499.8,5.65,2000.0,0,0.0,,0,smtuc,metrobus,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,37aba5a3f944e0f0cbf25eec2d9bac571fb48f40115d5c72cbe08a8e6aa6b0bd
30F,69.1,0.0,34805.8,0.0,0,,76,3,1731.6,4.98,2000.0,0,0.0,,0,smtuc,metrobus,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,37aba5a3f944e0f0cbf25eec2d9bac571fb48f40115d5c72cbe08a8e6aa6b0bd
30T,82.1,0.0,24059.3,0.0,0,,77,2,1506.4,6.26,2000.0,0,0.0,,0,smtuc,metrobus,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,37aba5a3f944e0f0cbf25eec2d9bac571fb48f40115d5c72cbe08a8e6aa6b0bd
31,29.3,480.1,27040.3,1.78,3,474;494;505,47,5,0.0,0.0,2000.0,56,60.22,474;494;505,93,smtuc,metrobus,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,37aba5a3f944e0f0cbf25eec2d9bac571fb48f40115d5c72cbe08a8e6aa6b0bd
32,30.8,422.6,56502.2,0.75,3,474;495;504,64,5,0.0,0.0,2000.0,51,68.92,474;495;504,74,smtuc,metrobus,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,37aba5a3f944e0f0cbf25eec2d9bac571fb48f40115d5c72cbe08a8e6aa6b0bd
32A,190.0,422.6,22821.9,1.85,2,474;495,69,3,0.0,0.0,2000.0,3,30.0,474;495,10,smtuc,metrobus,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,37aba5a3f944e0f0cbf25eec2d9bac571fb48f40115d5c72cbe08a8e6aa6b0bd
