line,avg_freq_min,overlap_extension_m,line_extension_m,overlap_pct,overlap_stops,overlap_stop_ids,total_stops,directions_considered,radius_extension_m,radius_extension_pct,radius_m,temporal_overlaps_count,temporal_overlaps_pct,temporal_overlap_stop_ids,temporal_spatial_candidates_count,__meta_smtuc_dataset,__meta_metro_dataset,__meta_walk_speed_m_min,__meta_stadium_lat,__meta_stadium_lon,__meta_radius_m,__meta_spatial_overlap_walk_min,__meta_temporal_overlap_max_min,__meta_sig_smtuc,__meta_sig_metro
52M,,0.0,12944.6,0.0,0,,21,1,0.0,0.0,2000.0,0,0.0,,0,smtuc,metrobus_fase2,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,20b589f37384105ae41674c2565d5d58d7bda448ec489e156ba29bbf1e5c5a3f
52P,76.7,0.0,50242.2,0.0,0,,62,3,0.0,0.0,2000.0,0,0.0,,0,smtuc,metrobus_fase2,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,20b589f37384105ae41674c2565d5d58d7bda448ec489e156ba29bbf1e5c5a3f
52T,,0.0,16818.6,0.0,0,,36,1,0.0,0.0,2000.0,0,0.0,,0,smtuc,metrobus_fase2,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,20b589f37384105ae41674c2565d5d58d7bda448ec489e156ba29bbf1e5c5a3f
53,31.7,4012.5,39250.9,10.22,9,1;317;321;472;474;485;487;488;496,65,4,0.0,0.0,2000.0,85,94.44,1;317;321;472;474;485;487;488;496,90,smtuc,metrobus_fase2,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,20b589f37384105ae41674c2565d5d58d7bda448ec489e156ba29bbf1e5c5a3f
53T,89.4,2006.3,35603.0,5.64,9,1;317;321;472;474;485;487;488;496,70,3,0.0,0.0,2000.0,18,100.0,1;317;321;472;474;485;487;488;496,18,smtuc,metrobus_fase2,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,20b589f37384105ae41674c2565d5d58d7bda448ec489e156ba29bbf1e5c5a3f
54,20.0,1412.5,9070.7,15.57,7,504;509;515;634;639;908;911,26,2,6059.6,66.8,2000.0,282,75.4,504;509;515;634;639;908;911,374,smtuc,metrobus_fase2,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,20b589f37384105ae41674c2565d5d58d7bda448ec489e156ba29bbf1e5c5a3f
5F,11.3,6789.7,28506.9,23.82,31,1;1583;319;321;457;466;479;484;485;487;504;509;515;588;589;590;602;618;634;639;768;769;778;791;876;877;878;879;895;896;897,84,2,19624.2,68.84,2000.0,1019,73.36,1;1583;319;321;457;466;479;484;485;487;504;509;515;588;589;590;602;618;634;639;768;769;778;791;876;877;878;879;895;896;897,1389,smtuc,metrobus_fase2,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,20b589f37384105ae41674c2565d5d58d7bda448ec489e156ba29bbf1e5c5a3f
5T,19.7,6497.8,39625.3,16.4,22,1;1583;319;321;457;458;466;479;484;485;487;588;589;590;602;618;768;778;791;876;878;896,81,4,25753.4,64.99,2000.0,397,64.03,1;1583;319;321;457;458;466;479;484;485;487;588;589;590;602;618;768;778;791;876;878;896,620,smtuc,metrobus_fase2,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,20b589f37384105ae41674c2565d5d58d7bda448ec489e156ba29bbf1e5c5a3f
6,8.9,6403.1,47574.9,13.46,13,465;472;474;475;479;488;494;504;588;589;590;602;618,73,5,14557.8,30.6,2000.0,1181,91.41,465;472;474;475;479;488;494;504;588;589;590;602;618,1292,smtuc,metrobus_fase2,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,20b589f37384105ae41674c2565d5d58d7bda448ec489e156ba29bbf1e5c5a3f
6F,14.6,2567.4,19606.6,13.09,13,465;472;474;475;479;488;494;504;588;589;590;602;618,72,2,6168.5,31.46,2000.0,168,65.62,465;472;474;475;479;488;494;504;588;589;590;602;618,256,smtuc,metrobus_fase2,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,20b589f37384105ae41674c2565d5d58d7bda448ec489e156ba29bbf1e5c5a3f
7,6.6,2896.4,11123.0,26.04,13,1583;475;478;479;504;590;602;618;629;631;639;775;782,38,2,8779.4,78.93,2000.0,1529,71.68,1583;475;478;479;504;590;602;618;629;631;639;775;782,2133,smtuc,metrobus_fase2,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,20b589f37384105ae41674c2565d5d58d7bda448ec489e156ba29bbf1e5c5a3f
7T,6.6,4407.0,18651.2,23.63,16,465;472;474;488;509;515;588;589;630;632;634;768;776;778;781;791,41,3,13448.0,72.1,2000.0,1770,72.36,465;472;474;488;509;515;588;589;630;632;634;768;776;778;781;791,2446,smtuc,metrobus_fase2,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,20b589f37384105ae41674c2565d5d58d7bda448ec489e156ba29bbf1e5c5a3f
9,32.5,6717.3,41535.7,16.17,21,1143;1583;504;509;515;629;630;631;632;634;639;768;775;776;778;781;782;791;908;911;944,55,4,17493.4,42.12,2000.0,353,64.89,1143;1583;504;509;515;629;630;631;632;634;639;768;775;776;778;781;782;791;908;911;944,544,smtuc,metrobus_fase2,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,20b589f37384105ae41674c2565d5d58d7bda448ec489e156ba29bbf1e5c5a3f
